;;;;;;
;;;;;;
;SS;;;;;
16,;1122.72;;;;;
17,;1135.14;;;;;
18,;1143.98;;;;;
19,;1150.91;;;;;
20,;1156.8;;;;;
21,;1166.88;;;;;
22,;1178.29;;;;;
23,;1186.9;;;;;
24,;1193.96;;;;;
25,;1200.04;;;;;
26,;1206.88;;;;;
27,;1209.77;;;;;
28,;1211.41;;;;;
29,;1209.65;;;;;
30,;1211.54;;;;;
31,;1213.06;;;;;
32,;1208.77;;;;;
33,;1204.3;;;;;
34,;1201.17;;;;;
35,;1198.61;;;;;
36,;1197.8;;;;;
37,;1198.76;;;;;
38,;1201.39;;;;;
39,;1204.52;;;;;
40,;1206.79;;;;;
41,;1208.19;;;;;
42,;1210.01;;;;;
43,;1211.73;;;;;
44,;1212.72;;;;;
45,;1212.45;;;;;
46,;1213.08;;;;;
47,;1213.26;;;;;
48,;1213.33;;;;;
49,;1213.72;;;;;
50,;1214.3;;;;;
51,;1214.54;;;;;
52,;1214.48;;;;;
53,;1215;;;;;
54,;1215.1;;;;;
55,;1214.71;;;;;
56,;1214.67;;;;;
57,;1214.63;;;;;
58,;1215.05;;;;;
59,;1215.01;;;;;
60,;1215.04;;;;;
61,;1214.91;;;;;
62,;1215.11;;;;;
63,;1216.16;;;;;
64,;1215.72;;;;;
65,;1215.45;;;;;
66,;1215.61;;;;;
67,;1215.81;;;;;
68,;1216.1;;;;;
69,;1216.73;;;;;
70,;1217.43;;;;;
71,;1218.07;;;;;
72,;1218.46;;;;;
73,;1218.64;;;;;
74,;1217.39;;;;;
75,;1216.67;;;;;
76,;1216.73;;;;;
77,;1216.48;;;;;
78,;1215.67;;;;;
79,;1215.3;;;;;
80,;1214.94;;;;;
81,;1215.13;;;;;
82,;1215.1;;;;;
83,;1214.87;;;;;
84,;1215.32;;;;;
85,;1215.92;;;;;
86,;1216.67;;;;;
87,;1216.93;;;;;
88,;1216.91;;;;;
89,;1216.05;;;;;
90,;1216.1;;;;;
91,;1216.17;;;;;
92,;1216.34;;;;;
93,;1216.56;;;;;
94,;1217.4;;;;;
95,;1218.61;;;;;
96,;1218.45;;;;;
97,;1218.58;;;;;
98,;1218.82;;;;;
99,;1219.42;;;;;
100,;1219.65;;;;;
101,;1219.25;;;;;
102,;1219.45;;;;;
103,;1219.38;;;;;
104,;1219.17;;;;;
105,;1219.14;;;;;
106,;1220.11;;;;;
107,;1220.62;;;;;
108,;1220.58;;;;;
109,;1220.39;;;;;
110,;1221.31;;;;;
111,;1221.27;;;;;
112,;1222.4;;;;;
113,;1223.19;;;;;
114,;1223.22;;;;;
115,;1223.84;;;;;
116,;1223.74;;;;;
117,;1224.29;;;;;
118,;1224.41;;;;;
119,;1224.6;;;;;
120,;1224.68;;;;;
121,;1225.18;;;;;
122,;1225.64;;;;;
123,;1226.47;;;;;
124,;1227.5;;;;;
125,;1226.84;;;;;
126,;1226.2;;;;;
127,;1226.06;;;;;
128,;1226.12;;;;;
129,;1226.83;;;;;
130,;1227.35;;;;;
131,;1226.7;;;;;
132,;1226.45;;;;;
133,;1226.86;;;;;
134,;1227.54;;;;;
135,;1227.67;;;;;
136,;1227.56;;;;;
137,;1228.87;;;;;
138,;1228.92;;;;;
139,;1228.82;;;;;
140,;1229.55;;;;;
141,;1230.02;;;;;
142,;1229.77;;;;;
143,;1229.79;;;;;
144,;1230.16;;;;;
145,;1230.46;;;;;
1,;429.626;;;;;
2,;430.511;;;;;
3,;430.189;;;;;
4,;429.128;;;;;
5,;428.251;;;;;
6,;426.718;;;;;
7,;425.69;;;;;
8,;424.894;;;;;
9,;423.918;;;;;
10,;423.347;;;;;
11,;843.517;;;;;
12,;981.841;;;;;
13,;1047.05;;;;;
14,;1075.82;;;;;
15,;1079.85;;;;;
16,;1071.98;;;;;
17,;1067.38;;;;;
18,;1067.45;;;;;
19,;1067;;;;;
20,;1072.13;;;;;
21,;1077.07;;;;;
22,;1069.91;;;;;
23,;1066.95;;;;;
24,;1066.87;;;;;
25,;1026.47;;;;;
26,;945.72;;;;;
27,;913.571;;;;;
28,;900.091;;;;;
29,;894.411;;;;;
30,;887.752;;;;;
31,;915.588;;;;;
32,;941.908;;;;;
33,;956.835;;;;;
34,;969.238;;;;;
35,;978.745;;;;;
36,;986.048;;;;;
37,;991.173;;;;;
38,;997.623;;;;;
39,;1001.74;;;;;
40,;1003.76;;;;;
41,;1006.5;;;;;
42,;1008.39;;;;;
43,;1010.54;;;;;
44,;1009.92;;;;;
45,;1007.86;;;;;
46,;1008.45;;;;;
47,;1007.04;;;;;
48,;1004.3;;;;;
49,;1005.67;;;;;
50,;1005.6;;;;;
