Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
2, 351.262
3, 349.794
4, 348.871
5, 354.868
6, 340.272
7, 339.798
8, 339.219
9, 338.818
10, 338.576
11, 338.494
12, 667.168
13, 731.666
14, 736.58
15, 734.023
16, 733.455
17, 737.017
18, 739.939
19, 755.649
20, 773.009
21, 781.109
22, 788.123
23, 785.919
24, 783.782
25, 788.963
26, 792.313
27, 792.989
28, 791.86
29, 785.046
30, 783.642
31, 787.044
32, 790.348
33, 792.884
34, 793.85
35, 795.284
36, 796.19
37, 796.798
38, 799.115
39, 802.274
40, 801.262
41, 801.004
42, 797.313
43, 797.267
44, 799.212
45, 799.116
46, 798.822
47, 800.06
48, 801.128
49, 801.695
50, 802.481
51, 803.054
52, 804.208
53, 804.651
54, 806.237
55, 809.539
56, 808.662
57, 807.411
58, 806.502
59, 807.207
60, 808.93
61, 809.622
62, 810.536
63, 810.904
64, 811.2
65, 811.648
66, 813.051
67, 813.28
68, 814.661
69, 815.669
70, 816.688
71, 817.178
72, 818.512
73, 820.105
74, 820.62
75, 823.328
76, 827.518
77, 829.434
78, 830.536
79, 832.97
80, 835.107
81, 834.608
82, 834.742
83, 834.979
84, 837.709
85, 839.756
86, 842.826
87, 844.129
88, 844.088
89, 843.643
90, 846.314
91, 848.994
92, 849.775
93, 847.482
94, 846.867
95, 849.945
96, 852.792
97, 854.18
98, 857.611
99, 859.446
100, 861.368
101, 862.187
102, 863.425
103, 864.156
104, 864.314
105, 866.141
106, 870.546
107, 876.305
108, 877.734
109, 879.97
110, 879.561
111, 875.879
112, 876.163
113, 881.659
114, 886.193
115, 888.941
116, 889.894
117, 893.818
118, 890.762
119, 888.175
120, 892.554
121, 896.614
122, 899.427
123, 903.845
124, 905.247
125, 901.86
126, 901.117
127, 904.04
128, 908.148
129, 909.664
130, 918.639
131, 934.052
132, 941.563
133, 946.892
134, 951.165
135, 947.154
136, 942.275
137, 949.649
138, 956.277
139, 960.632
140, 955.453
141, 952.369
142, 958.024
143, 964.567
144, 969.482
145, 967.636
"Image Plane", "Average Intensity"
1, 557.598
2, 557.937
3, 558.247
4, 558.267
5, 558.275
6, 558.404
7, 558.402
8, 558.413
9, 558.535
10, 558.515
1, 543.757
2, 543.691
3, 543.793
4, 543.748
5, 543.759
6, 543.765
7, 543.783
8, 543.798
9, 543.797
10, 543.69
1, 604.069
2, 604.295
3, 604.354
4, 604.24
5, 604.365
6, 604.266
7, 604.313
8, 604.332
9, 604.356
10, 604.199
1, 540.07
2, 540.008
3, 540.172
4, 540.112
5, 540.251
6, 540.124
7, 540.045
8, 540.123
9, 540.157
10, 539.905
1, 528.007
2, 527.891
3, 527.964
4, 528.012
5, 527.918
6, 527.971
7, 527.955
8, 527.943
9, 527.839
10, 527.684
1, 479.468
2, 479.566
3, 479.445
4, 479.44
5, 479.445
6, 479.441
7, 479.427
8, 479.435
9, 479.491
10, 479.3
"Image Plane", "Average Intensity"
1, 1225.45
2, 1224.18
3, 1224.09
4, 1223.98
5, 1223.75
