Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
92, 867.04
93, 867.565
94, 865.527
95, 865.847
96, 865.232
97, 865.942
98, 866.002
99, 870.388
100, 873.313
101, 874.8
102, 877.508
103, 875.036
104, 872.101
105, 872.309
106, 874.315
107, 876.008
108, 874.862
109, 871.935
110, 871.991
111, 873.187
112, 874.594
113, 876.248
114, 877.528
115, 875.378
116, 873.865
117, 874.548
118, 876.359
119, 877.258
120, 880.9
121, 882.624
122, 879.464
123, 879.001
124, 879.858
125, 879.347
126, 882.077
127, 883.116
128, 883.375
129, 884.844
130, 885.491
131, 885.228
132, 886.723
133, 887.782
134, 886.185
135, 885.321
136, 886.585
137, 885.155
138, 888.694
139, 889.972
140, 890.511
141, 888.469
142, 886.898
143, 888.906
144, 890.394
145, 891.252
"Image Plane", "Average Intensity"
1, 1402.55
2, 1400.98
3, 1397.4
4, 1028.28
5, 764.588
6, 665.806
7, 617.508
8, 589.319
9, 570.652
10, 556.814
11, 545.241
12, 535.841
13, 527.667
14, 520.723
15, 514.34
16, 508.618
17, 503.534
18, 499.244
19, 495.137
20, 491.4
1, 1278.84
2, 1278.59
3, 1276.2
4, 989.938
5, 741.404
6, 637.24
7, 584.563
8, 554.702
9, 534.361
10, 519.196
11, 507.107
12, 497.71
13, 490.051
14, 483.378
15, 477.922
16, 472.879
17, 468.542
18, 464.767
19, 461.283
20, 458.156
1, 1401.93
2, 1401.56
3, 1389.77
4, 988.716
5, 749.887
6, 659.349
7, 613.83
8, 587.335
9, 569.196
10, 555.736
11, 544.264
12, 534.974
13, 526.925
14, 519.953
15, 513.742
16, 508.087
17, 503.203
18, 498.666
19, 494.695
20, 491.052
1, 1271.86
2, 1271.66
3, 1254.67
4, 879.196
5, 674.529
6, 592.806
7, 552.134
8, 527.34
9, 509.964
10, 497.05
11, 486.498
12, 478.133
13, 471.081
14, 465.098
15, 459.944
16, 455.368
17, 451.158
18, 447.643
19, 444.266
20, 441.298
1, 1261.89
2, 1261.78
3, 1239.19
4, 875.503
5, 680.496
6, 597.635
7, 556.098
8, 531.603
9, 514.995
10, 502.688
11, 492.647
12, 484.975
13, 478.261
14, 472.859
15, 468.11
16, 463.949
17, 460.29
18, 457.001
19, 454.014
20, 451.535
1, 950.257
2, 950.627
3, 946.159
4, 761.043
5, 605.787
6, 524.485
7, 479.408
8, 454.24
9, 438.161
10, 426.645
11, 417.828
12, 410.202
13, 404.166
14, 399.16
15, 394.959
16, 391.064
17, 387.965
18, 385.067
19, 382.724
20, 380.506
"Image Plane", "Average Intensity"
1, 1409.62
2, 1407.1
3, 1406.53
4, 1406.09
5, 1405.7
6, 1405.12
7, 1404.73
8, 1404.41
9, 1403.82
10, 1403.5
1, 1280.77
